device_label,model_id,model_mb,prompts,success,timeout,error,p50_duration_ms,p50_tokens_per_sec,max_tokens,threads,prompt_timeout_s,output_present,thermal_warning_count,max_temp_before_c,max_temp_after_c,llama_bin
samsung-s24-ultra,gemma-2b-q4km,1629,20,0,0,20,,,256,4,90,0,0,44.4,47.5,/data/data/com.termux/files/home/llama.cpp/build/bin/llama-cli

prompt_id,status,duration_ms,tokens_per_sec,timed_out,start_ts,end_ts
P01,error,410,,False,2026-05-24T14:50:53Z,2026-05-24T14:50:53Z
P02,error,420,,False,2026-05-24T14:51:24Z,2026-05-24T14:51:24Z
P03,error,412,,False,2026-05-24T14:51:54Z,2026-05-24T14:51:55Z
P04,error,408,,False,2026-05-24T14:52:25Z,2026-05-24T14:52:26Z
P05,error,422,,False,2026-05-24T14:52:56Z,2026-05-24T14:52:56Z
P06,error,407,,False,2026-05-24T14:53:27Z,2026-05-24T14:53:27Z
P07,error,418,,False,2026-05-24T14:53:58Z,2026-05-24T14:53:58Z
P08,error,430,,False,2026-05-24T14:54:28Z,2026-05-24T14:54:29Z
P09,error,438,,False,2026-05-24T14:54:59Z,2026-05-24T14:55:00Z
P10,error,436,,False,2026-05-24T14:55:30Z,2026-05-24T14:55:31Z
P11,error,453,,False,2026-05-24T14:56:01Z,2026-05-24T14:56:01Z
P12,error,458,,False,2026-05-24T14:56:32Z,2026-05-24T14:56:32Z
P13,error,453,,False,2026-05-24T14:57:03Z,2026-05-24T14:57:03Z
P14,error,416,,False,2026-05-24T14:57:34Z,2026-05-24T14:57:34Z
P15,error,368,,False,2026-05-24T14:58:04Z,2026-05-24T14:58:05Z
P16,error,430,,False,2026-05-24T14:58:35Z,2026-05-24T14:58:36Z
P17,error,414,,False,2026-05-24T14:59:06Z,2026-05-24T14:59:06Z
P18,error,363,,False,2026-05-24T14:59:37Z,2026-05-24T14:59:37Z
P19,error,426,,False,2026-05-24T15:00:07Z,2026-05-24T15:00:08Z
P20,error,422,,False,2026-05-24T15:00:38Z,2026-05-24T15:00:39Z
